from_node,to_node,length_m,travel_time_s,fuel_l,co2_g,lanes
27006352,92204395,98.21,11.78,0.0079,18.79,1
27006352,11288594300,92.02,11.04,0.0074,17.61,1
27006399,27006425,52.27,6.27,0.0042,10.0,1
27006399,8119388868,202.56,24.31,0.0162,38.76,1
27006399,476981328,30.85,3.7,0.0025,5.9,1
27006400,27006402,38.89,4.67,0.0031,7.44,1
27006400,476981328,67.01,8.04,0.0054,12.82,1
27006400,775936239,150.17,18.02,0.012,28.74,1
27006402,353235049,5.26,0.63,0.0004,1.01,1
27006402,27006400,38.89,4.67,0.0031,7.44,1
27006402,92204395,85.21,10.23,0.0068,16.31,1
27006418,8119388879,13.77,0.99,0.0011,2.63,1
27006418,12070140269,664.9,47.87,0.0532,127.24,2
27006423,8119388879,161.6,11.64,0.0129,30.92,3
27006423,27006434,100.96,12.12,0.0081,19.32,2
27006423,27006424,81.08,5.84,0.0065,15.52,2
27006424,27256963,147.38,10.61,0.0118,28.2,2
27006424,27006423,81.08,5.84,0.0065,15.52,2
27006425,476981335,71.02,8.52,0.0057,13.59,1
27006425,27006399,52.27,6.27,0.0042,10.0,1
27006425,27006428,69.89,8.39,0.0056,13.37,1
27006428,27006424,58.78,7.05,0.0047,11.25,1
27006434,27006435,81.34,9.76,0.0065,15.57,2
27006434,137874502,137.04,9.87,0.011,26.22,1
27006434,332440319,72.24,5.2,0.0058,13.82,1
27006434,27006423,100.96,12.12,0.0081,19.32,2
27006435,27006434,81.34,9.76,0.0065,15.57,2
27006435,59977220,185.5,13.36,0.0148,35.5,2
27006435,245989946,79.01,9.48,0.0063,15.12,2
27006435,27006437,85.71,6.17,0.0069,16.4,2
27006437,4810656285,34.79,2.5,0.0028,6.66,1
27006437,63014871,175.65,12.65,0.0141,33.61,1
27006437,27006435,85.71,6.17,0.0069,16.4,2
27006443,3980755193,122.7,22.09,0.0098,23.48,1
27006443,28107530,242.89,17.49,0.0194,46.48,2
27006443,27256963,82.46,5.94,0.0066,15.78,3
27011016,12671124262,50.25,6.03,0.004,9.62,1
27011016,27011017,73.69,8.84,0.0059,14.1,1
27011016,4154966649,27.75,3.33,0.0022,5.31,1
27011017,344911034,58.23,6.99,0.0047,11.14,1
27011017,27011016,73.69,8.84,0.0059,14.1,1
27028543,5183760624,11.79,0.85,0.0009,2.26,2
27028543,27452412,55.37,3.99,0.0044,10.6,2
27028543,27557276,96.83,6.97,0.0077,18.53,2
27256924,27256926,56.41,4.06,0.0045,10.79,2
27256926,30202182,34.57,2.49,0.0028,6.62,1
27256926,27256940,36.36,2.62,0.0029,6.96,1
27256935,1493689564,191.68,13.8,0.0153,36.68,1
27256935,27481860,54.69,3.94,0.0044,10.47,2
27256935,2280211848,176.67,12.72,0.0141,33.81,2
27256936,262978641,21.56,2.59,0.0017,4.13,1
27256936,4324863901,85.27,10.23,0.0068,16.32,1
27256940,5047325365,181.74,13.09,0.0145,34.78,3
27256940,1493666365,14.4,1.04,0.0012,2.75,1
27256963,775936232,99.62,7.17,0.008,19.06,1
27256963,27006443,82.46,5.94,0.0066,15.78,3
27256963,71275580,134.2,9.66,0.0107,25.68,4
27256986,28583644,85.76,6.17,0.0069,16.41,4
27256986,28584110,183.49,22.02,0.0147,35.11,1
27256986,28137424,182.47,13.14,0.0146,34.92,6
27256988,28582116,70.03,8.4,0.0056,13.4,1
27256988,28584110,92.5,11.1,0.0074,17.7,1
27256989,28584172,76.11,5.48,0.0061,14.56,1
27256989,28137436,105.04,7.56,0.0084,20.1,4
27256989,28582171,99.27,7.15,0.0079,19.0,4
27256990,27256991,92.32,6.65,0.0074,17.67,2
27256990,28582171,85.96,6.19,0.0069,16.45,4
27256991,9954076990,41.07,4.93,0.0033,7.86,3
27256991,28851231,69.51,5.0,0.0056,13.3,3
27256991,5116225774,127.83,9.2,0.0102,24.46,3
27256991,27256990,95.67,6.89,0.0077,18.31,1
27256996,26114454,134.19,9.66,0.0107,25.68,2
27256996,1486118375,66.9,8.03,0.0054,12.8,1
27256996,30826179,72.9,5.25,0.0058,13.95,4
27256996,27256997,80.62,9.67,0.0064,15.43,3
27256997,30826164,65.42,7.85,0.0052,12.52,1
27256997,30826177,99.1,11.89,0.0079,18.96,1
27256997,30825863,106.28,12.75,0.0085,20.34,1
27256997,27256996,80.62,9.67,0.0064,15.43,3
27256999,28137421,78.61,9.43,0.0063,15.04,1
